,URL_extention,scores,genres
0,/title/tt0111161/,"[1278874, 591888, 269307, 86265, 25895, 13369, 6487, 4664, 4335, 34515]",['Drama']
1,/title/tt0468569/,"[1022268, 640538, 350283, 136261, 49026, 23011, 11323, 8022, 7133, 30195]","['Action', 'Crime', 'Drama', 'Thriller']"
2,/title/tt1375666/,"[715689, 618637, 402086, 171614, 59863, 26624, 13281, 8618, 6880, 17476]","['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
3,/title/tt0137523/,"[630642, 565495, 366287, 150031, 52380, 24469, 12515, 8525, 6897, 17309]",['Drama']
4,/title/tt0110912/,"[668174, 535228, 327985, 138932, 51331, 26508, 14048, 10320, 8841, 25430]","['Crime', 'Drama']"
5,/title/tt0109830/,"[613159, 545286, 367849, 149076, 50521, 22489, 11585, 7583, 5893, 12022]","['Drama', 'Romance']"
6,/title/tt0133093/,"[503186, 496886, 369183, 163081, 56250, 25102, 12438, 8525, 6464, 15985]","['Action', 'Sci-Fi']"
7,/title/tt0120737/,"[622870, 454692, 311974, 131152, 46126, 22421, 10875, 8208, 6853, 26860]","['Action', 'Adventure', 'Drama', 'Fantasy']"
8,/title/tt0167260/,"[694958, 427999, 266715, 116113, 44296, 21613, 10756, 7925, 6512, 28864]","['Action', 'Adventure', 'Drama', 'Fantasy']"
9,/title/tt0068646/,"[826078, 396047, 196106, 77373, 29621, 16407, 8324, 6199, 5842, 36919]","['Crime', 'Drama']"
10,/title/tt1345836/,"[426398, 410027, 363860, 174893, 63898, 25104, 11991, 6956, 4995, 13372]","['Action', 'Adventure']"
11,/title/tt0816692/,"[530963, 403967, 286402, 146493, 56341, 24124, 12075, 7508, 5551, 12691]","['Adventure', 'Drama', 'Sci-Fi']"
12,/title/tt0167261/,"[511122, 415325, 306615, 128884, 44231, 20567, 9574, 6756, 5809, 20843]","['Action', 'Adventure', 'Drama', 'Fantasy']"
13,/title/tt0114369/,"[328429, 482685, 385268, 155320, 39526, 14659, 6726, 4206, 3097, 7155]","['Crime', 'Drama', 'Mystery', 'Thriller']"
14,/title/tt1853728/,"[285847, 423689, 377061, 158541, 49011, 18452, 8784, 5409, 4138, 9594]","['Drama', 'Western']"
15,/title/tt0172495/,"[348128, 392970, 337478, 151089, 50849, 20640, 9430, 5593, 3743, 7294]","['Action', 'Adventure', 'Drama']"
16,/title/tt0372784/,"[240401, 335983, 424770, 195650, 54862, 18868, 8042, 4288, 3195, 9753]","['Action', 'Adventure']"
17,/title/tt0102926/,"[293060, 412719, 350999, 133563, 35573, 12864, 5704, 3239, 2549, 5711]","['Crime', 'Drama', 'Thriller']"
18,/title/tt0848228/,"[291268, 271730, 331092, 199839, 80356, 32523, 13951, 8063, 5724, 17530]","['Action', 'Adventure', 'Sci-Fi']"
19,/title/tt0361748/,"[247520, 363661, 355912, 162444, 56670, 23601, 12211, 7869, 5909, 15567]","['Adventure', 'Drama', 'War']"
20,/title/tt0120815/,"[314859, 381388, 310943, 130686, 41879, 16726, 8010, 5046, 3863, 8833]","['Drama', 'War']"
21,/title/tt0076759/,"[387581, 325432, 277868, 131872, 43849, 18542, 7900, 5038, 4033, 16742]","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
22,/title/tt0108052/,"[448533, 378941, 218038, 81467, 27004, 12814, 6188, 4539, 4267, 19227]","['Biography', 'Drama', 'History']"
23,/title/tt0407887/,"[270231, 374095, 324003, 132023, 39823, 14713, 6598, 3825, 2949, 8488]","['Crime', 'Drama', 'Thriller']"
24,/title/tt0482571/,"[281752, 372007, 317223, 134872, 39916, 13575, 5874, 2895, 2068, 5344]","['Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
25,/title/tt0993846/,"[219296, 310046, 342983, 173103, 60491, 23818, 11175, 7417, 5495, 11515]","['Biography', 'Crime', 'Drama']"
26,/title/tt0080684/,"[396122, 313975, 245292, 109592, 36200, 15749, 6762, 4300, 3537, 15475]","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
27,/title/tt0120689/,"[298182, 352805, 292586, 120372, 36899, 13859, 6564, 3942, 2562, 5131]","['Crime', 'Drama', 'Fantasy', 'Mystery']"
28,/title/tt0071562/,"[480174, 320315, 173123, 69915, 26049, 12549, 6148, 4308, 3868, 20349]","['Crime', 'Drama']"
29,/title/tt0209144/,"[250569, 335623, 302174, 136887, 44009, 17861, 8610, 5097, 3908, 10204]","['Mystery', 'Thriller']"
30,/title/tt1130884/,"[195692, 297917, 357278, 167332, 56065, 19255, 8629, 4681, 3220, 5371]","['Mystery', 'Thriller']"
31,/title/tt0499549/,"[240018, 207141, 267391, 188431, 91878, 44110, 21958, 13956, 10076, 26396]","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
32,/title/tt0169547/,"[236897, 289693, 285070, 141780, 50805, 21601, 10651, 6605, 5329, 12678]",['Drama']
33,/title/tt0088763/,"[269144, 278147, 288211, 137149, 42538, 14849, 6056, 3076, 1893, 4325]","['Adventure', 'Comedy', 'Sci-Fi']"
34,/title/tt0120338/,"[237202, 167564, 250293, 192744, 83855, 39405, 18832, 12477, 8890, 24725]","['Drama', 'Romance']"
35,/title/tt2015381/,"[193331, 241400, 309342, 174338, 63153, 23070, 10274, 5794, 4040, 9803]","['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
36,/title/tt0120586/,"[225570, 335449, 291954, 114363, 31352, 11012, 5141, 2893, 2238, 6238]",['Drama']
37,/title/tt0434409/,"[229220, 253854, 275559, 153358, 58265, 22817, 10268, 6107, 4354, 10024]","['Action', 'Drama', 'Sci-Fi', 'Thriller']"
38,/title/tt0110413/,"[260136, 319098, 271733, 113919, 32379, 11566, 5030, 2581, 1897, 5488]","['Action', 'Crime', 'Drama', 'Thriller']"
39,/title/tt0325980/,"[185820, 208663, 335823, 174397, 57275, 21145, 8771, 5007, 3373, 9012]","['Action', 'Adventure', 'Fantasy']"
40,/title/tt0099685/,"[285125, 317255, 248415, 99651, 29481, 11309, 5082, 3171, 2294, 6407]","['Biography', 'Crime', 'Drama']"
41,/title/tt0266697/,"[182218, 237570, 297587, 150045, 55441, 24020, 12264, 8500, 7061, 16168]","['Action', 'Crime', 'Thriller']"
42,/title/tt0910970/,"[241371, 270128, 258948, 128731, 44441, 17490, 8294, 5155, 3786, 10371]","['Animation', 'Adventure', 'Family', 'Sci-Fi']"
43,/title/tt0103064/,"[247877, 271784, 264468, 127281, 41060, 15586, 6761, 3644, 2527, 6161]","['Action', 'Sci-Fi']"
